InvoiceID,CustomerID,CreditCard,SupervisorID,Quantity,Price,Freight,OrderDate
1000040,NV46,6666-3020-0480-0685,sup22,1,96.13,26.33,4/13/2018
1000041,XD24,3250-6665-4104-5896,sup05,25,23.4,28.46,4/10/2018
1000042,GR00,2438-8014-5965-2271,sup95,51,98.1,28.5,3/1/2018
1000043,ZR42,2096-9071-5851-2462,sup68,25,60.43,18.73,4/7/2018
1000044,BS68,2244-9420-5479-2743,sup87,91,91.21,24.02,3/6/2018
1000045,XA78,1428-7021-0220-6679,sup68,10,56.71,14.84,4/22/2018
1000046,UQ44,6447-0718-8431-4439,sup14,14,82.27,12.32,3/29/2018
1000047,HM59,5939-0649-7703-7903,sup93,62,55.75,10.55,4/20/2018
1000048,FQ92,7789-1510-5241-4846,sup61,45,43.19,24.76,3/28/2018
1000049,MJ93,6942-3767-1181-6861,sup38,57,51.3,12.46,3/23/2018
1000050,DO67,9843-1933-3385-5472,sup04,80,53.78,17.18,3/13/2018
1000051,PW71,5971-8176-7070-9447,sup09,4,75.26,10.42,4/22/2018
1000052,GQ29,2607-3287-0906-7930,sup95,16,47.56,27.97,4/14/2018
1000053,HJ33,5513-4824-9217-4490,sup89,6,74.83,23.53,4/5/2018
1000054,ZB65,5169-2677-3911-7510,sup72,23,25.64,12.72,3/27/2018
1000055,DA91,4851-6043-9115-5565,sup58,65,44.33,15.69,3/15/2018
1000056,OA27,8026-7693-7331-5334,sup28,23,93.81,14.18,3/26/2018
1000057,CS71,0990-9019-6568-6005,sup18,24,94.95,22.2,4/23/2018
1000058,GA92,4289-8713-3724-5374,sup54,69,85.14,20.83,3/1/2018
1000059,WA57,3831-3967-2931-4630,sup99,84,48.12,20.25,3/3/2018
1000060,ZQ81,1264-1536-8247-4786,sup09,52,42.28,13.17,3/30/2018
1000061,VT96,6065-0916-3829-5950,sup07,90,41.55,25.19,4/22/2018
1000062,YV92,3143-5203-6566-2291,sup58,97,27.66,20.14,4/18/2018
1000063,JI88,2195-1708-9952-4880,sup79,15,51.12,23.43,4/1/2018
1000064,EP42,8999-1106-8167-0313,sup19,58,84.48,15.84,4/24/2018
1000065,IP41,4767-0324-8845-8079,sup14,40,73.49,17.65,4/22/2018
1000066,AF08,6933-3652-2371-9877,sup37,93,61.08,12.75,3/20/2018
1000067,JM18,8464-3562-6652-9450,sup82,15,30.69,10.52,4/19/2018
1000068,XS31,2199-1878-6250-1710,sup97,85,45.58,16.85,4/16/2018
1000069,LF52,2219-1869-7501-3376,sup90,73,39.25,13.59,4/18/2018
1000070,CM59,9506-1783-9086-1602,sup18,63,36.14,25.5,3/30/2018
1000071,MH67,4876-5010-5725-4256,sup28,63,95.87,25.66,3/25/2018
1000072,GK55,8218-5080-8302-1361,sup52,53,35.2,10.23,4/21/2018
1000073,HQ77,0475-4720-3833-3216,sup85,24,63.13,20.41,4/23/2018
1000074,ZC42,0324-2948-6183-2472,sup68,91,99.55,15.94,4/10/2018
1000075,KB62,9444-7571-0878-4811,sup45,70,86.12,24.37,3/10/2018
1000076,FK63,4346-1796-4292-4956,sup22,4,43.57,22.68,4/23/2018
1000077,MR78,9405-9171-7534-0761,sup95,32,49.68,15.02,3/18/2018
1000078,MU11,6365-0006-6451-6759,sup36,94,40.47,24.1,3/24/2018
1000079,CG12,3903-8984-2685-4566,sup13,85,52.29,25.86,3/12/2018
1000080,BB03,6809-8363-9102-2914,sup53,89,68.66,25.42,3/6/2018
1000081,YT17,2251-3409-3051-2295,sup64,30,71.02,28.55,4/14/2018
1000082,XJ02,8281-5409-9436-0962,sup61,55,94.42,14.97,3/21/2018
1000083,UP85,1726-8865-1908-0609,sup49,75,26.23,26.81,3/9/2018
1000084,EF88,2528-7951-3329-2274,sup90,7,88.54,26.04,4/13/2018
1000085,IV21,6787-6319-7188-6042,sup60,68,47.08,28.06,4/20/2018
1000086,EU64,5632-8499-9790-1301,sup16,34,51.98,18.57,3/22/2018
1000087,DQ75,7268-4458-6149-4266,sup26,16,39.96,10.03,4/18/2018
1000088,CZ17,6180-1711-1115-4667,sup23,14,52.79,26.49,4/29/2018
1000089,TJ40,3863-6149-3038-6668,sup90,7,94.3,27.93,4/23/2018
1000090,GT62,1025-1185-0687-4254,sup39,38,42.13,18.93,4/20/2018
1000091,VV09,7164-1793-0961-8991,sup13,19,48.16,26.28,4/12/2018
1000092,WT59,5343-1197-9377-7896,sup36,23,85.85,26.83,3/11/2018
1000093,EP49,8504-4789-1821-5218,sup86,83,27.28,12.02,4/5/2018
1000094,BS10,0417-4857-0393-6021,sup77,6,78.78,14.99,4/28/2018
1000095,DF27,2310-0338-5271-1973,sup01,19,31.95,17.95,4/30/2018
1000096,YB88,2252-1886-9861-7412,sup74,91,44.94,21.07,4/26/2018
1000097,RL53,0931-7810-7082-8354,sup01,17,47.37,26.49,3/2/2018
1000098,RA56,1669-1846-6687-3982,sup62,64,41.39,23.98,3/1/2018
1000099,IY45,5715-8886-3220-8584,sup83,7,59.17,20.78,4/18/2018
1000100,LJ32,4615-3214-7669-7878,sup76,25,58.88,21.29,4/6/2018
1000101,QJ44,4403-7030-4374-7614,sup44,64,46.62,13.39,3/2/2018
1000102,BS89,8895-9800-3334-3036,sup16,61,76.76,20.09,3/1/2018
1000103,LU05,3976-5097-7492-3487,sup92,87,77.83,23.88,3/5/2018
1000104,XQ59,2502-1286-1225-7736,sup61,66,25.09,18.09,3/3/2018
1000105,GG34,0670-1199-1996-5900,sup91,34,46.99,29.12,4/13/2018
1000106,RD90,7271-8212-9848-1867,sup20,54,95.18,11.7,4/1/2018
1000107,GK01,0828-0907-0433-3305,sup54,40,53.3,26.54,4/1/2018
1000108,CR52,9541-3365-7279-9800,sup63,78,23.04,17.57,4/12/2018
1000109,LZ91,4731-8811-2297-9167,sup58,59,53.93,19.58,4/20/2018
1000110,KI03,6919-1031-4501-7612,sup65,58,71,17.17,4/13/2018
1000111,IA53,5078-5484-3866-7282,sup12,78,88.88,15.01,3/11/2018
1000112,SI38,1219-1300-7046-7249,sup97,76,33.65,19.39,4/16/2018
1000113,VL87,7938-6082-3515-2969,sup43,62,92.96,19.32,3/17/2018
1000114,ZG20,9840-0241-1644-0396,sup54,96,29.35,29.24,3/29/2018
1000115,ZQ64,6075-0804-6666-6221,sup29,70,74.29,28.94,4/18/2018
1000116,FT72,2661-7319-4743-4501,sup71,73,67.53,11.04,3/27/2018
1000117,FP89,5830-3011-2961-0846,sup78,84,27.02,19.43,3/25/2018
1000118,CI86,7309-5211-1211-4506,sup54,82,44.93,17.26,3/31/2018
1000119,FI81,4137-9455-6719-9679,sup29,51,58.52,13.61,3/24/2018
1000120,AY72,3241-9078-1459-7778,sup99,71,96.12,11.99,4/30/2018
1000121,GD39,4871-3578-8898-9774,sup72,88,32.61,28.58,4/29/2018
1000122,NY74,6277-7616-7004-4695,sup52,41,46.24,25.68,3/5/2018
1000123,WN79,1086-1450-2597-9674,sup50,63,44.93,25.31,3/13/2018
1000124,MM92,1100-0853-0282-3695,sup44,56,20.47,15.35,4/3/2018
1000125,DL43,5281-4463-7066-2805,sup92,52,67.75,18.94,3/3/2018
1000126,HH70,2935-6920-2559-7686,sup05,53,79.65,20.59,4/5/2018
1000127,GR61,3935-6045-0523-7541,sup87,1,33.6,21.53,4/19/2018
1000128,PR09,0120-6101-6113-5030,sup57,31,60.97,24.55,3/23/2018
1000129,ZE26,1104-2106-6260-6572,sup24,29,72.12,16.64,4/10/2018
1000130,HU62,5106-3717-5723-7508,sup66,95,77.5,19.65,3/9/2018
1000131,GW02,2706-1077-5185-6150,sup66,56,37.11,13.76,4/3/2018
1000132,SI41,5953-0590-5240-3654,sup15,42,31.3,16.6,4/8/2018
1000133,UX15,8414-8715-9385-6500,sup86,79,24.7,10.05,3/31/2018
1000134,KW31,6540-9260-4753-5874,sup63,45,25.89,27.65,3/12/2018
1000135,ZN64,2820-5272-7841-9871,sup01,83,43.19,25.86,4/17/2018
1000136,AA77,8533-4997-8514-5719,sup37,54,52.05,11.63,4/16/2018
1000137,FZ18,2992-1636-3397-0684,sup88,45,36.78,14.36,3/2/2018
1000138,UZ26,4427-5657-4479-8235,sup83,13,89.31,18.96,3/30/2018
1000139,GP41,1829-3963-2155-4930,sup26,94,26.45,28.99,4/10/2018
1000140,ZV97,6400-4221-7832-3328,sup55,53,21.4,11.55,3/2/2018
1000141,LB85,6636-9145-0275-5429,sup07,54,58.25,21.06,3/6/2018
1000142,EU39,4973-1747-5624-6747,sup39,90,50.75,24.26,3/28/2018
1000143,QS41,6498-2844-0778-7292,sup01,72,71.73,25.61,3/20/2018
1000144,ZM01,6311-0458-3263-6646,sup57,27,95.94,22.62,3/2/2018
1000145,YY02,0050-1166-5286-4777,sup72,72,81.75,22.78,4/15/2018
1000146,NV92,2918-0272-1576-9637,sup55,69,80.21,21.71,4/2/2018
1000147,GA16,2706-5783-4362-4837,sup10,47,48.28,10.62,4/21/2018
1000148,AU03,0525-8918-8401-2305,sup55,92,82.72,12.04,4/2/2018
1000149,NC30,4121-3722-0814-8409,sup48,42,69.98,14.34,4/12/2018
1000150,CQ74,9887-6530-5001-6912,sup41,79,22.55,11.86,4/7/2018
1000151,EA99,5132-4442-1293-6249,sup58,18,50.12,13.75,4/10/2018
1000152,OE53,6255-2889-2653-1114,sup18,40,96.31,10.99,3/23/2018
1000153,DZ19,4436-5539-0589-8194,sup91,23,56.2,19.62,4/27/2018
1000154,SU77,8789-1378-2167-4135,sup63,44,33.35,25.44,3/22/2018
1000155,XW05,7259-9811-0473-7286,sup07,14,52.89,12.7,3/31/2018
1000156,PO07,0520-7197-4084-4322,sup03,8,24.54,12.71,4/19/2018
1000157,RO30,6791-4086-5339-9979,sup03,50,84.7,20.92,3/29/2018
1000158,CB81,3383-3737-5965-4079,sup41,13,60.27,12.12,4/17/2018
1000159,PH55,0910-3128-5201-8761,sup91,81,64.64,16.18,3/27/2018
1000160,PP43,1071-5077-0883-4799,sup89,38,54.82,24.67,3/22/2018
1000161,IP12,3191-2822-4783-6553,sup89,68,35.65,23.53,3/23/2018
1000162,LS41,0553-2140-5911-7789,sup66,11,59.53,15.26,4/28/2018
1000163,BP91,1309-0364-2318-2120,sup92,34,71.08,20.56,4/12/2018
1000164,QG51,7135-4912-3312-4477,sup93,26,31.95,15.25,4/28/2018
1000165,LQ78,1622-3395-7448-1823,sup50,67,25.53,15.34,4/19/2018
1000166,BZ11,4896-3538-5565-1524,sup61,63,55.93,12.17,4/2/2018
1000167,RS00,6529-1165-7787-5482,sup42,82,62.19,12.63,3/16/2018
1000168,HK32,3815-3757-1814-2312,sup91,21,26.28,11.19,4/29/2018
1000169,OV77,3977-8508-1389-3200,sup64,3,94.16,12.17,4/13/2018
1000170,QQ58,6253-9455-2418-1645,sup52,28,46.42,28.62,3/14/2018
1000171,JP35,8898-8211-3633-2194,sup93,93,48.01,20.25,3/14/2018
1000172,WW44,6313-3012-0198-5288,sup38,58,59.96,13.88,3/8/2018
1000173,TL89,8495-8607-4919-1060,sup70,28,84.94,15.39,3/18/2018
1000174,EL15,4812-5880-9610-0530,sup51,16,24.34,15.31,3/18/2018
1000175,PU91,0689-9321-4012-0877,sup61,36,26.34,11.24,3/26/2018
1000176,EV57,0012-3285-6966-2086,sup48,16,34.46,15.67,4/23/2018
1000177,LW37,9820-7926-2768-6038,sup23,87,76.44,17.06,4/23/2018
1000178,RA05,3511-2755-1947-4799,sup50,1,42.95,25.37,3/9/2018
1000179,CH54,7853-9448-0529-7917,sup43,86,54.04,29.23,3/7/2018
1000180,EL17,2392-1075-9660-0873,sup96,33,34.49,21.68,4/17/2018
1000181,ZR09,9560-3518-5733-7652,sup36,71,45.52,29.34,4/7/2018
1000182,NY01,7355-6504-5316-7361,sup48,90,85.34,28.92,3/7/2018
1000183,VS04,1683-2905-1631-2969,sup86,87,76.91,14.3,4/14/2018
1000184,YW69,8741-0864-5008-5019,sup80,16,25.88,16.41,3/4/2018
1000185,DS31,7464-6214-9938-2797,sup86,78,69.89,26.51,3/20/2018
1000186,VF32,7441-2646-8221-2491,sup49,22,98.78,22.68,3/2/2018
1000187,ZF21,0546-7451-0068-3212,sup48,65,85.28,13.05,4/24/2018
1000188,HF66,4303-8399-6160-1050,sup46,21,86.85,22.03,4/27/2018
1000189,RZ69,7112-3753-7867-4695,sup57,69,73.21,15.69,3/5/2018
1000190,EK22,8284-2444-5851-2944,sup79,72,26.22,15.57,3/25/2018
1000191,SY43,8727-9188-7435-0429,sup88,68,37.45,24.8,3/12/2018
1000192,HZ21,6956-4991-7176-5788,sup34,69,60.02,16.32,3/10/2018
1000193,UH15,5765-8054-9821-0559,sup66,98,77.61,11.71,3/10/2018
1000194,JZ82,0098-2176-7612-4227,sup44,11,67.55,29.07,4/5/2018
1000195,MB01,9550-4761-4475-5534,sup23,14,83.3,28.21,3/20/2018
1000196,DD30,9256-9723-4675-3609,sup09,5,94.77,13.93,4/26/2018
1000197,HB11,1780-1744-9264-7355,sup07,81,69.85,14.91,3/30/2018
1000198,BR96,4603-0809-4999-8580,sup02,61,85.75,14.21,3/15/2018
1000199,NL97,6680-7057-0905-4759,sup85,95,20.16,18.41,3/18/2018
1000200,BL42,6440-6355-9629-2682,sup44,25,71.88,15.7,3/6/2018
1000201,GN50,6584-4937-4908-0545,sup98,28,83.32,27.34,4/23/2018
1000202,WM64,3912-4221-6767-4148,sup11,39,84.13,19.86,4/16/2018
1000203,LT26,5947-9376-1425-4500,sup53,1,72.48,15.83,3/2/2018
1000204,BI47,3715-0548-8625-7602,sup98,36,38.23,13.84,3/2/2018
1000205,CE19,8533-4233-9378-1739,sup57,98,22.87,29.86,3/30/2018
1000206,RF28,3772-3433-0203-2637,sup84,27,35.83,13.01,3/9/2018
1000207,KU85,0512-0605-2340-0217,sup99,84,40,22.66,4/28/2018
1000208,TD23,2584-4721-4639-8336,sup66,85,54.94,12.5,3/20/2018
1000209,IL71,7847-1516-2886-8901,sup56,86,69.25,27.43,3/8/2018
1000210,YF27,4174-7582-4188-6447,sup18,28,38.43,26.13,3/6/2018
1000211,YI32,4615-3555-8484-0166,sup73,21,64.19,27.91,4/21/2018
1000212,AZ86,3908-5095-8952-0189,sup37,54,83.47,12.86,4/4/2018
1000213,QX05,1595-9019-4906-5383,sup83,21,94.07,25.89,4/28/2018
1000214,TX91,7371-9134-0499-9082,sup97,28,28.16,25.33,3/14/2018
1000215,XH66,5025-6030-6350-0735,sup51,59,57.37,20.28,3/25/2018
1000216,LA22,1376-8600-6023-2195,sup75,9,27.91,12.52,3/17/2018
1000217,CQ41,3044-0032-6679-4350,sup95,44,79.24,11.28,4/14/2018
1000218,HR93,6084-8212-2472-6958,sup29,58,22.08,23.41,3/1/2018
1000219,FS16,2896-7816-0721-1234,sup77,87,24.56,27.9,3/29/2018
1000220,OY82,2294-8729-9964-7777,sup45,94,64.23,20.91,4/16/2018
1000221,KF57,4831-3477-4040-1068,sup87,63,74.04,22.36,4/30/2018
1000222,XA31,1982-8626-0926-1243,sup01,46,38.49,16.93,4/8/2018
1000223,YN46,1939-0913-2230-1898,sup64,62,91.32,28.25,3/23/2018
1000224,CY00,3642-5604-1464-5459,sup65,66,41.19,10.29,3/21/2018
1000225,LX43,7325-8480-8438-6838,sup70,28,60.91,15.39,3/16/2018
1000226,LA14,1849-7696-6213-6408,sup78,58,89.98,10.16,4/5/2018
1000227,JJ28,7024-0596-5957-3875,sup88,81,78.06,14.16,3/5/2018
1000228,YX09,1077-4913-6506-0883,sup62,15,64.18,23.21,4/26/2018
1000229,TC40,1669-0584-2225-2416,sup81,78,63.29,18.35,4/4/2018
1000230,FT73,3554-2353-8816-9013,sup17,94,79,16.86,4/11/2018
1000231,VQ58,6746-4493-8909-7069,sup69,91,94.29,14.05,3/15/2018
1000232,UA73,6253-9847-7299-1585,sup65,67,59.11,19.81,3/9/2018
1000233,WB69,2944-4731-3174-7524,sup93,4,21.12,28.69,3/5/2018
1000234,AQ29,6894-5161-7844-6037,sup97,24,78.52,28.93,3/7/2018
1000235,CF67,0456-2834-6652-2293,sup14,1,29.83,15.06,4/25/2018
1000236,IL35,7786-9931-3462-8984,sup13,25,93.71,11.32,3/23/2018
1000237,SP73,0860-9306-2731-3880,sup74,65,31.16,22.23,4/13/2018
1000238,BC33,6962-1316-8984-5476,sup39,3,68.12,12.65,4/6/2018
1000239,NA41,8314-0039-5099-3199,sup21,28,63.53,15.51,4/15/2018
1000240,WB24,1002-9879-8409-1844,sup74,67,30.11,28.46,3/26/2018
1000241,IO71,2514-5039-6237-8440,sup73,4,37.6,13.18,4/1/2018
1000242,UY81,6494-5075-6387-3047,sup35,44,75.53,15.66,4/11/2018
1000243,TX34,0454-1581-2035-2459,sup35,47,24.88,18.72,3/31/2018
1000244,TP01,5794-8084-4463-6968,sup20,36,89.18,12.71,3/7/2018
1000245,HB03,1990-3244-9597-8712,sup41,63,97.44,20.23,3/26/2018
1000246,PO45,2894-6572-5633-6029,sup10,79,75.33,25.95,4/28/2018
1000247,FJ43,2922-2871-8687-4045,sup93,38,59.26,20.36,4/18/2018
1000248,OS09,5584-0743-7488-2703,sup68,36,71.56,16.6,3/30/2018
1000249,LH10,9497-2519-2811-6555,sup76,43,50.81,10.75,3/14/2018
1000250,ZA61,4043-8096-6372-8052,sup74,78,81.98,22.51,4/27/2018
1000251,EZ59,0230-3673-6226-8086,sup32,98,60.75,26.57,3/19/2018
1000252,BF89,1860-9375-1442-5985,sup02,96,34.76,10.98,3/31/2018
1000253,FJ51,0017-6113-0051-3082,sup76,25,74.81,17.75,3/25/2018
1000254,WW39,1230-5770-0636-8262,sup75,26,90,20.84,4/1/2018
1000255,ZH62,4206-6794-3166-6489,sup98,37,41.33,29.74,3/28/2018
1000256,VZ74,0435-4893-1348-3536,sup94,74,72.44,13.19,4/10/2018
1000257,UE28,6360-6873-7719-1308,sup81,76,43.18,25.42,4/13/2018
1000258,HT60,5641-7206-8440-2051,sup26,8,59.82,19.8,3/29/2018
1000259,ZP96,5891-4095-0168-4559,sup72,37,58.93,21.53,3/20/2018
1000260,HW68,7614-2401-3737-0062,sup87,56,50.43,26.85,4/15/2018
1000261,BT96,8649-2661-6687-0360,sup08,10,71.24,25.85,4/5/2018
1000262,CM67,0737-4240-4193-7833,sup24,2,90.27,24.05,4/28/2018
1000263,ZC52,2425-6215-1449-5851,sup33,94,95.74,17.4,3/8/2018
1000264,NE97,5089-4531-6202-6700,sup86,29,32.2,23.31,4/4/2018
1000265,KT56,3022-3771-7757-1110,sup24,39,63.12,13.5,3/3/2018
1000266,OV30,6689-8277-1798-2847,sup23,80,62.45,10.58,3/22/2018
1000267,AJ62,4937-5354-1764-7640,sup49,15,32.43,23.05,3/9/2018
1000268,SG03,6612-1754-1422-7365,sup01,18,22.71,16.12,4/7/2018
1000269,JC48,4718-2374-6445-1337,sup17,38,99.46,29.86,4/2/2018
1000270,JO35,7335-3792-4334-1597,sup26,83,39.98,14.67,4/27/2018
1000271,YK55,9486-3942-0692-6999,sup39,14,65.56,10.49,4/28/2018
1000272,RT28,5816-9186-6854-2205,sup35,14,51.22,20.27,4/14/2018
1000273,EO86,5652-3264-2418-7640,sup22,87,21.55,22.12,3/13/2018
1000274,BO58,6007-5561-3953-3993,sup34,23,64.01,13.46,3/1/2018
1000275,PU88,1036-5927-7232-4902,sup53,52,42.52,20.4,4/18/2018
1000276,XQ73,6787-2122-5554-7330,sup55,62,91.75,25.71,3/4/2018
1000277,CN67,1757-1283-9537-6939,sup80,8,23.04,19.97,4/10/2018
1000278,EX73,7274-9046-3967-7051,sup74,9,43.13,21.77,4/20/2018
1000279,YS43,1121-8933-7711-0404,sup41,97,63.71,25.37,4/2/2018
1000280,RC18,1045-1407-7018-7782,sup22,68,59.37,13.68,3/14/2018
1000281,EA62,0529-7386-4490-7898,sup49,60,73.98,22.93,4/5/2018
1000282,CA65,3778-5708-4072-5248,sup13,40,67.46,29.27,3/12/2018
1000283,RZ87,5457-6904-1375-7700,sup37,1,30.22,20.08,3/30/2018
1000284,LO74,8686-7673-1308-4614,sup71,96,49.11,19.01,3/30/2018
1000285,NY90,0998-8998-9962-4090,sup33,57,66.31,13.82,4/23/2018
1000286,AL32,2784-6404-5313-3331,sup70,68,48.52,27.09,3/12/2018
1000287,WB77,5158-3128-3113-8812,sup95,52,61.97,26.87,4/17/2018
1000288,PR18,0404-1435-6948-0014,sup65,53,89.36,19.29,3/16/2018
1000289,GV95,4831-4448-1393-8259,sup81,81,95.4,15.08,4/16/2018
1000290,DV87,1630-6739-2427-8429,sup17,42,66.4,20.87,3/15/2018
1000291,WE55,6720-2461-8724-5852,sup56,81,87.09,22.52,3/12/2018
1000292,PX04,2644-7863-3146-7370,sup64,37,27.47,24.15,4/8/2018
1000293,SR26,3170-6764-6243-1863,sup20,10,90.41,13.28,3/19/2018
1000294,CO84,8921-0740-1297-7546,sup20,4,60.79,27.43,4/30/2018
1000295,IW23,6371-5845-2796-8595,sup69,15,29.07,12.82,4/8/2018
1000296,OA72,7095-0412-1978-3895,sup93,95,71.87,23.32,4/19/2018
1000297,CJ70,3594-1420-6601-8638,sup50,5,86.61,27.56,4/17/2018
1000298,EQ49,7050-2625-8905-8183,sup18,14,93.01,17.78,4/28/2018
1000299,RX03,5670-3147-6351-4426,sup51,53,98.36,13.85,3/2/2018
1000300,DR58,8706-2209-5698-4334,sup09,54,47.39,21.01,3/3/2018
1000301,LQ60,4749-3437-2720-5614,sup56,78,32.44,18.53,3/28/2018
1000302,XQ24,8597-9825-4611-0253,sup92,99,44.4,17.5,3/25/2018
1000303,PM36,6864-9915-8246-0185,sup75,77,99.18,11.29,4/19/2018
1000304,AP69,0511-2377-4742-2301,sup00,87,65.92,19.46,4/20/2018
1000305,UA60,8770-0800-8440-9846,sup04,14,55.6,16.66,4/4/2018
1000306,GD21,0856-2571-0276-9212,sup61,36,44.05,24.36,4/29/2018
1000307,CN71,4386-4740-4964-4433,sup26,91,65.74,10.19,3/13/2018
1000308,WW45,2853-1754-8271-8791,sup09,10,83.05,25.81,4/24/2018
1000309,RV35,5608-9803-8213-9128,sup19,77,76.39,22.55,3/8/2018
1000310,SZ21,0747-1397-9144-3025,sup43,32,81.01,26.69,4/19/2018
1000311,FT96,3406-9055-1514-0097,sup03,16,75.05,21.03,4/11/2018
1000312,OJ40,0934-6255-0453-8555,sup23,25,63.46,19.27,3/1/2018
1000313,WV10,6499-1663-7601-0561,sup37,33,30.62,13.51,4/28/2018
1000314,TY58,2866-9407-7732-6474,sup90,31,93.7,22.42,4/27/2018
1000315,FZ96,8264-9323-2974-1187,sup48,71,38.36,23.77,3/18/2018
1000316,PN45,7924-6159-1778-2875,sup82,76,63.54,19.99,4/23/2018
1000317,RF30,3072-8022-6567-8156,sup51,63,99.9,17.38,3/3/2018
1000318,ZT39,8435-9154-7302-2599,sup96,20,43.65,18.66,4/25/2018
1000319,IG62,0840-7407-3523-4528,sup77,87,95.25,16.47,4/29/2018
1000320,ON86,9757-2344-8668-1791,sup22,41,40.23,15.84,4/6/2018
1000321,SY52,6365-0715-4707-7389,sup92,33,68.55,11.74,4/9/2018
1000322,KM02,8652-8582-3943-2100,sup60,35,93.05,28.62,3/25/2018
1000323,VA31,3872-7925-9657-2929,sup60,1,87.07,22.78,4/27/2018
1000324,FJ15,2164-6624-9017-8332,sup60,76,52.86,25.5,3/9/2018
1000325,QR14,0641-7502-7532-9060,sup28,1,67.03,29.93,4/20/2018
1000326,XO47,3730-1587-3418-4669,sup54,28,78.57,20.58,3/11/2018
1000327,PI70,6189-7006-2678-5907,sup43,11,43.03,14.93,3/11/2018
1000328,YN49,7054-5309-3358-5991,sup66,21,51.98,12.33,4/8/2018
1000329,ZE32,4540-8841-3449-4155,sup99,15,95.33,25.85,3/27/2018
1000330,YI70,1009-8166-5413-7771,sup96,99,68.24,11.01,4/7/2018
1000331,AI20,9577-0982-7274-4698,sup59,91,52.89,19.55,4/11/2018
1000332,JX27,3242-5898-5703-1788,sup12,97,42.42,13.09,4/18/2018
1000333,ZN80,4075-0166-1599-3940,sup45,90,34.5,27.68,3/20/2018
1000334,UO73,7679-1548-0075-1960,sup17,15,49.09,22.43,3/17/2018
1000335,LK54,7993-6026-9470-6387,sup25,63,59.66,26.17,3/18/2018
1000336,NT66,6921-5110-1320-5808,sup81,54,22.4,29.42,4/3/2018
1000337,PV67,8172-3446-6253-0838,sup36,57,31.34,19.96,4/25/2018
